"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Fragmented World","BGR",-0.0333281103,-0.03469639879,-0.03589476487,-0.03702147627,-0.03797015028,-0.03871282782
"GCAM 6.0 NGFS","Fragmented World","CAN",-0.03671512307,-0.03830063185,-0.03980812825,-0.04132390224,-0.04284929172,-0.04430632859
"GCAM 6.0 NGFS","Fragmented World","CHL",-0.01245385063,-0.01321380944,-0.01410818641,-0.01510913544,-0.01624858002,-0.01748887018
"GCAM 6.0 NGFS","Fragmented World","CHN",-0.04715577985,-0.04955687552,-0.0516606254,-0.05356581377,-0.05534340367,-0.05697756874
"GCAM 6.0 NGFS","Fragmented World","HRV",-0.03097604272,-0.03250356795,-0.03377346279,-0.03486054282,-0.03569717168,-0.03625734035
"GCAM 6.0 NGFS","Fragmented World","CZE",-0.02332666679,-0.02409377646,-0.02483500187,-0.02557971934,-0.02624937729,-0.02680055919
"GCAM 6.0 NGFS","Fragmented World","DNK",-0.02038104056,-0.02144826442,-0.02245855255,-0.02352318836,-0.0245702681,-0.02548099192
"GCAM 6.0 NGFS","Fragmented World",NA,-0.02563749201,-0.02662494261,-0.0276855577,-0.02876884837,-0.02972654779,-0.03049083375
"GCAM 6.0 NGFS","Fragmented World","EGY",-0.06057412747,-0.0632830647,-0.06602422101,-0.0687130362,-0.0711627577,-0.073441389
"GCAM 6.0 NGFS","Fragmented World","EST",-0.0278729611,-0.02915941936,-0.03024812574,-0.03131250533,-0.03236607949,-0.03338919522
"GCAM 6.0 NGFS","Fragmented World","FIN",-0.0240753163,-0.02514363787,-0.02615821571,-0.02719851637,-0.02821522776,-0.02910783599
"GCAM 6.0 NGFS","Fragmented World","FRA",-0.02593351605,-0.02733606647,-0.0286207419,-0.02990222249,-0.03114218681,-0.03221779033
"GCAM 6.0 NGFS","Fragmented World","DEU",-0.02444403746,-0.02585994099,-0.02721586291,-0.02857134584,-0.02985896908,-0.03097772196
"GCAM 6.0 NGFS","Fragmented World","GRC",-0.04992083886,-0.0531834734,-0.05633858381,-0.05923650305,-0.06179356751,-0.06402221238
"GCAM 6.0 NGFS","Fragmented World","HKG",-0.0564427575,-0.0595052126,-0.06237050791,-0.06510332189,-0.06774813372,-0.07011120024
"GCAM 6.0 NGFS","Fragmented World","HUN",-0.02816006576,-0.02901814712,-0.02986334708,-0.03072076826,-0.0314570308,-0.03199103257
"GCAM 6.0 NGFS","Fragmented World","IND",-0.07567360501,-0.07885484411,-0.08200041426,-0.08530124062,-0.08868841322,-0.0922837822
"GCAM 6.0 NGFS","Fragmented World","IDN",-0.05379381194,-0.05559132949,-0.05736043324,-0.05920480042,-0.06112717906,-0.06291001253
"GCAM 6.0 NGFS","Fragmented World","IRL",-0.02075665711,-0.02180760038,-0.0227417097,-0.02365118515,-0.02449331134,-0.02515696061
"GCAM 6.0 NGFS","Fragmented World","ITA",-0.04064119883,-0.04243907432,-0.04386384803,-0.04508752655,-0.04617647501,-0.04708632052
"GCAM 6.0 NGFS","Fragmented World","JPN",-0.0438403895,-0.0459559384,-0.04792811075,-0.04978682762,-0.05141232033,-0.05278390863
"GCAM 6.0 NGFS","Fragmented World",NA,-0.04221612549,-0.04393994732,-0.04567443505,-0.04746849372,-0.04920517979,-0.05074423468
"GCAM 6.0 NGFS","Fragmented World","LVA",-0.02451439197,-0.0253462717,-0.02614075926,-0.02690431788,-0.02757634601,-0.02808895399
"GCAM 6.0 NGFS","Fragmented World","LTU",-0.02471719306,-0.02590040824,-0.02698452264,-0.02803821822,-0.02896602639,-0.02964990428
"GCAM 6.0 NGFS","Fragmented World","MYS",-0.05664676637,-0.05891779569,-0.06101103279,-0.0630661296,-0.06507759511,-0.0668352911
"GCAM 6.0 NGFS","Fragmented World","MEX",-0.04893718704,-0.05099662289,-0.05299858325,-0.05502714715,-0.0569276525,-0.0585000489
"GCAM 6.0 NGFS","Fragmented World",NA,-0.07181207819,-0.07526844555,-0.07879833368,-0.08244190765,-0.08595010602,-0.08915627739
"GCAM 6.0 NGFS","Fragmented World","NLD",-0.0189162638,-0.01996564349,-0.02099126409,-0.02210719561,-0.02322511075,-0.02417523869
