"X","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95","model","scenario_","year"
34,"Poland","PL",13.6,9.54614166666667,8.71644838665771,10.3758349466756,1.05744549490216,2.95685034492766,2.10811201788895,9.0017486675771,2.49961080893496,12.322238851092,-4.05385833333333,1.05066652298679,6.04489832264944,-4.88355161334229,1.4421653140328,9.3653885061643,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
35,"Portugal","PT",10.8,7.54991166666667,6.18926889870968,8.91055443462366,1.64753048899489,5.6077084980296,3.18476520827557,18.728854865351,4.21012701720801,29.2109959637198,-3.25008833333333,1.53723471928068,13.1211463673214,-4.61073110129032,2.56259652821312,23.6032874656902,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
36,"Romania","RO",11,7.75197333333333,6.9822587103559,8.52168795631076,1.58708246480164,5.22159971540106,3.05398590319435,17.4602573268017,3.581083979658,22.6780159916115,-3.24802666666667,1.46690343839271,12.2386576114006,-4.0177412896441,1.99400151485636,17.4564162762104,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
37,"Russia","RU",10.4,9.612985,8.84149736985837,10.3844726301416,1.77868735415734,6.50021618048849,2.07974592557705,8.77421983118603,2.43577679653262,11.7603857710588,-0.787015,0.301058571419708,2.27400365069754,-1.55850263014163,0.657089442375285,5.2601695905703,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
38,"Singapore","SG",20,18.8208266666667,18.0527140980059,19.5889392353275,0.528295218534761,0,0.656793151736018,1.28930570862781,0.717223436921929,2.2192170871518,-1.17917333333333,0.128497933201258,1.28930570862781,-1.94728590199414,0.188928218387169,2.2192170871518,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
39,"Slovakia","SK",16,9.32985166666667,8.47947256125281,10.1802307720805,0.843361400754689,3.01196315014471,2.20305358799895,9.77739685200002,2.62549771979396,13.4502777630173,-6.67014833333333,1.35969218724426,6.76543370185531,-7.52052743874719,1.78213631903928,10.4383146128726,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
40,"Slovenia","SI",15.6,12.3687133333333,11.1842176753514,13.5532089913153,0.869418570760146,3.0009782226318,1.2552088432638,3.49315247183971,1.53429938112565,4.89930437738379,-3.23128666666667,0.385790272503657,0.492174249207906,-4.41578232464865,0.664880810365506,1.89832615475199,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
41,"South Africa","ZA",9.8,6.04894666666667,5.27939834197661,6.81849499135673,2.00277633147246,8.16733767699889,4.33105490315016,30.4979124455381,5.04847385010183,38.301077094402,-3.75105333333333,2.3282785716777,22.3305747685393,-4.52060165802339,3.04569751862937,30.1337394174031,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
42,"Spain","ES",13.6,10.0421383333333,8.91358148551676,11.1706951811499,1.05744549490216,2.95685034492766,1.90823648854805,7.44460535759149,2.39977978783706,11.4467538405,-3.55786166666667,0.850790993645892,4.48775501266383,-4.68641851448324,1.3423342929349,8.48990349557233,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
43,"Sweden","SE",20,18.465325,17.6074265651351,19.3232234348649,0.528295218534761,0,0.686512124394684,1.77644323634331,0.746904019187813,2.56704885950774,-1.534675,0.158216905859923,1.77644323634331,-2.39257343486487,0.218608800653053,2.56704885950774,"MESSAGEix-GLOBIOM 1.1-M-R12","Fragmented World","30"
