"Model","Scenario","Region","Variable","Unit","X1990","X1995","X2000","X2005","X2007","X2008","X2010","X2011","X2012","X2013","X2014","X2015","X2018","X2020","X2021","X2022","X2023","X2024","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100","X2110","X2130","X2150","Category","Policy_category"
"AIM/CGE 2.2","EN_INDCi2030_1400f","EU","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,15241.213,NA,NA,NA,NA,16498.9188,NA,18299.7487,NA,NA,NA,NA,20009.1055,21751.0323,23751.627,25768.1127,27952.7654,30133.8427,32370.3179,34736.301,37219.9982,39795.6366,42421.8309,45057.5067,47679.3967,50383.2749,53133.9024,55903.85,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400f","IND","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4980.3626,NA,NA,NA,NA,6837.0405,NA,9526.5034,NA,NA,NA,NA,12880.5197,16745.7338,20294.9212,24688.5904,30130.2409,35957.0103,42118.9948,48493.1414,55016.8048,61756.6232,68885.2189,76059.5148,83402.1965,91318.65,99297.9394,107063,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400f","JPN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4545.5679,NA,NA,NA,NA,4781.2649,NA,5012.2513,NA,NA,NA,NA,5259.0855,5485.3417,5683.8421,5812.1831,5981.7272,6138.515,6304.5119,6473.4423,6633.2638,6801.143,6972.4313,7134.8195,7304.1259,7479.2614,7651.539,7822.8566,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400f","RUS","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4480.2396,NA,NA,NA,NA,4933.9156,NA,6011.3737,NA,NA,NA,NA,7213.0968,8461.2845,9121.1123,9948.9641,11038.5367,11862.1813,12540.5827,13181.5789,13953.6896,14894.9821,15896.95,16816.0209,17724.0016,18725.5532,19785.0626,20809.9356,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400f","USA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14188.0371,NA,NA,NA,NA,15815.7262,NA,18261.6556,NA,NA,NA,NA,20377.5157,22273.2684,24184.5328,25833.0707,27533.656,29054.3599,30547.7216,32067.3808,33634.1894,35170.0875,36685.9714,38235.5143,39697.8568,41125.0751,42505.6998,43828.0618,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7703.4762,8490.1173,9254.9523,10020.3429,10776.4686,11501.7486,12228.1461,13008.4673,13771.9591,14539.1763,15300.5257,16070.2332,16860.9225,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600","CHN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14563.1105,NA,NA,NA,NA,21267.6935,NA,31208.4773,NA,NA,NA,NA,41149.8827,50530.2826,56625.3198,63477.5804,70560.6315,75888.2167,79527.4591,82128.3103,84092.1231,85354.8023,86552.5425,87485.12,87975.7747,88384.6408,88547.1662,88625.3661,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600","EU","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,15241.213,NA,NA,NA,NA,16498.9188,NA,18299.7487,NA,NA,NA,NA,20009.1055,21751.0323,23751.627,25798.8732,27966.6974,30148.6838,32387.1163,34761.9335,37262.8372,39821.2512,42437.5351,45065.1462,47737.4811,50434.7711,53170.8796,55933.4829,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600","IND","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4980.3626,NA,NA,NA,NA,6837.0405,NA,9526.5034,NA,NA,NA,NA,12880.5197,16745.7338,20294.9212,24831.8495,30199.1034,36034.1923,42205.3079,48624.7485,55294.8284,61998.8156,69170.8226,76260.3904,83905.7748,91886.7459,99855.1737,107651,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600","JPN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4545.5679,NA,NA,NA,NA,4781.2649,NA,5012.2513,NA,NA,NA,NA,5259.0855,5485.3417,5683.8421,5820.0558,5985.2538,6142.1655,6308.4603,6479.66,6642.658,6805.1214,6974.6286,7136.0988,7303.7328,7474.5523,7646.5657,7818.3327,NA,NA,NA,"C5","P3b"
